,breakdown,auc,disease,Age Range,Gender,fields
289,PD|50-70|Male|Carriers,0.5446788497715668,PD,50-70,Male,Blood
290,PD|50-70|Male|Non Carriers,0.5830176899063475,PD,50-70,Male,Blood
291,PD|50-70|Male|Non Carriers,0.5231217481789803,PD,50-70,Male,Blood
292,PD|50-70|Male|All,0.5376063808990083,PD,50-70,Male,Blood
293,PD|50-70|Male|All,0.5617041796452449,PD,50-70,Male,Blood
294,PD|50-70|Female|Carriers,0.5560971227061386,PD,50-70,Female,Blood
295,PD|50-70|Female|Carriers,0.5767615282675591,PD,50-70,Female,Blood
296,PD|50-70|Female|Non Carriers,0.5753479430988082,PD,50-70,Female,Blood
297,PD|50-70|Female|Non Carriers,0.6025990003844675,PD,50-70,Female,Blood
298,PD|50-70|Female|All,0.5898939011586141,PD,50-70,Female,Blood
299,PD|50-70|Female|All,0.5821690397686455,PD,50-70,Female,Blood
300,PD|50-70|All|Carriers,0.5724327931535138,PD,50-70,All,Blood
301,PD|50-70|All|Carriers,0.5899999098197296,PD,50-70,All,Blood
302,PD|50-70|All|Non Carriers,0.5440273646638906,PD,50-70,All,Blood
303,PD|50-70|All|Non Carriers,0.507932778108269,PD,50-70,All,Blood
304,PD|50-70|All|All,0.5724156732463965,PD,50-70,All,Blood
305,PD|50-70|All|All,0.5598243996456835,PD,50-70,All,Blood
306,PD|55-70|Male|Carriers,0.5764343043995244,PD,55-70,Male,Blood
307,PD|55-70|Male|Carriers,0.5739447086801427,PD,55-70,Male,Blood
308,PD|55-70|Male|Non Carriers,0.5666088385682979,PD,55-70,Male,Blood
309,PD|55-70|Male|Non Carriers,0.5259313367421474,PD,55-70,Male,Blood
310,PD|55-70|Male|All,0.563489424453151,PD,55-70,Male,Blood
311,PD|55-70|Male|All,0.5793491303907821,PD,55-70,Male,Blood
312,PD|55-70|Female|Carriers,0.5527833469468578,PD,55-70,Female,Blood
313,PD|55-70|Female|Carriers,0.5631172495730303,PD,55-70,Female,Blood
314,PD|55-70|Female|Non Carriers,0.6118524130094178,PD,55-70,Female,Blood
315,PD|55-70|Female|Non Carriers,0.5641862226890033,PD,55-70,Female,Blood
316,PD|55-70|Female|All,0.5482151266354087,PD,55-70,Female,Blood
317,PD|55-70|Female|All,0.5511506725906513,PD,55-70,Female,Blood
318,PD|55-70|All|Carriers,0.5474983976926774,PD,55-70,All,Blood
319,PD|55-70|All|Carriers,0.5939653100464669,PD,55-70,All,Blood
320,PD|55-70|All|Non Carriers,0.5756339173016303,PD,55-70,All,Blood
321,PD|55-70|All|Non Carriers,0.5380680804382736,PD,55-70,All,Blood
322,PD|55-70|All|All,0.5746220009053871,PD,55-70,All,Blood
323,PD|55-70|All|All,0.5784125547004678,PD,55-70,All,Blood
324,PD|60-70|Male|Carriers,0.5914,PD,60-70,Male,Blood
325,PD|60-70|Male|Carriers,0.51545,PD,60-70,Male,Blood
326,PD|60-70|Male|Non Carriers,0.554496,PD,60-70,Male,Blood
327,PD|60-70|Male|Non Carriers,0.5134080000000001,PD,60-70,Male,Blood
328,PD|60-70|Male|All,0.5310706313775511,PD,60-70,Male,Blood
329,PD|60-70|Male|All,0.5131736288265306,PD,60-70,Male,Blood
330,PD|60-70|Female|Carriers,0.5711518595041323,PD,60-70,Female,Blood
331,PD|60-70|Female|Carriers,0.5614508006198347,PD,60-70,Female,Blood
332,PD|60-70|Female|Non Carriers,0.583207653878782,PD,60-70,Female,Blood
