,breakdown,auc,disease,Age Range,Gender
329,PD|60-70|Male|All,0.5863759566326531,PD,60-70,Male
330,PD|60-70|Female|Carriers,0.6475335743801653,PD,60-70,Female
331,PD|60-70|Female|Carriers,0.5824186466942148,PD,60-70,Female
332,PD|60-70|Female|Non Carriers,0.5959798284475445,PD,60-70,Female
333,PD|60-70|Female|Non Carriers,0.6215477424827976,PD,60-70,Female
334,PD|60-70|Female|All,0.6113045146788739,PD,60-70,Female
335,PD|60-70|Female|All,0.6132918505523424,PD,60-70,Female
336,PD|60-70|All|Carriers,0.6231752783028776,PD,60-70,All
337,PD|60-70|All|Carriers,0.6000183784919135,PD,60-70,All
338,PD|60-70|All|Non Carriers,0.6279150427615665,PD,60-70,All
339,PD|60-70|All|Non Carriers,0.6296218544920181,PD,60-70,All
340,PD|60-70|All|All,0.6321281914186224,PD,60-70,All
341,PD|60-70|All|All,0.6652806765658206,PD,60-70,All
342,PD|50-60|Male|Carriers,0.5038265306122449,PD,50-60,Male
343,PD|50-60|Male|Carriers,0.6492346938775511,PD,50-60,Male
344,PD|50-60|Male|Non Carriers,0.5673898750821827,PD,50-60,Male
345,PD|50-60|Male|Non Carriers,0.6699539776462854,PD,50-60,Male
346,PD|50-60|Male|All,0.5573624415237247,PD,50-60,Male
347,PD|50-60|Male|All,0.5823123190020049,PD,50-60,Male
348,PD|50-60|Female|Carriers,0.5137051039697542,PD,50-60,Female
349,PD|50-60|Female|Carriers,0.6417769376181475,PD,50-60,Female
350,PD|50-60|Female|Non Carriers,0.6748060902039643,PD,50-60,Female
351,PD|50-60|Female|Non Carriers,0.5834530307382936,PD,50-60,Female
352,PD|50-60|Female|All,0.5968253968253968,PD,50-60,Female
353,PD|50-60|Female|All,0.6625850340136055,PD,50-60,Female
354,PD|50-60|All|Carriers,0.6050036523009497,PD,50-60,All
355,PD|50-60|All|Carriers,0.5071219868517165,PD,50-60,All
356,PD|50-60|All|Non Carriers,0.5788213244481466,PD,50-60,All
357,PD|50-60|All|Non Carriers,0.6001665972511453,PD,50-60,All
358,PD|50-60|All|All,0.6106679286100595,PD,50-60,All
359,PD|50-60|All|All,0.5915697674418605,PD,50-60,All
360,Other|50-70|Male|Carriers,0.662072206124207,Other,50-70,Male
361,Other|50-70|Male|Carriers,0.6397525256480538,Other,50-70,Male
362,Other|50-70|Male|Non Carriers,0.6558383766464934,Other,50-70,Male
363,Other|50-70|Male|Non Carriers,0.6080455678177287,Other,50-70,Male
364,Other|50-70|Male|All,0.6900206611570249,Other,50-70,Male
365,Other|50-70|Male|All,0.6908677685950414,Other,50-70,Male
366,Other|50-70|Female|Carriers,0.6497902398795223,Other,50-70,Female
367,Other|50-70|Female|Carriers,0.6594714762092582,Other,50-70,Female
368,Other|50-70|Female|Non Carriers,0.663984375,Other,50-70,Female
369,Other|50-70|Female|Non Carriers,0.693515625,Other,50-70,Female
370,Other|50-70|Female|All,0.6956298104349615,Other,50-70,Female
371,Other|50-70|Female|All,0.7211794742305642,Other,50-70,Female
372,Other|50-70|All|Carriers,0.6903188775510205,Other,50-70,All
373,Other|50-70|All|Carriers,0.6899872448979592,Other,50-70,All
374,Other|50-70|All|Non Carriers,0.7353581321725366,Other,50-70,All
375,Other|50-70|All|Non Carriers,0.7289841144213918,Other,50-70,All
376,Other|50-70|All|All,0.7068389485971903,Other,50-70,All
377,Other|50-70|All|All,0.7182808034456387,Other,50-70,All
378,Other|55-70|Male|Carriers,0.6058205767176931,Other,55-70,Male
379,Other|55-70|Male|Carriers,0.6335884656461374,Other,55-70,Male
380,Other|55-70|Male|Non Carriers,0.6441179471482501,Other,55-70,Male
381,Other|55-70|Male|Non Carriers,0.6506478930721354,Other,55-70,Male
382,Other|55-70|Male|All,0.641648600245075,Other,55-70,Male
383,Other|55-70|Male|All,0.6615845037232538,Other,55-70,Male
384,Other|55-70|Female|Carriers,0.673861008560185,Other,55-70,Female
385,Other|55-70|Female|Carriers,0.6146699663272344,Other,55-70,Female
386,Other|55-70|Female|Non Carriers,0.7434402332361515,Other,55-70,Female
387,Other|55-70|Female|Non Carriers,0.702253690591883,Other,55-70,Female
388,Other|55-70|Female|All,0.6870238919667591,Other,55-70,Female
389,Other|55-70|Female|All,0.6982881752077562,Other,55-70,Female
390,Other|55-70|All|Carriers,0.6319594037791496,Other,55-70,All
391,Other|55-70|All|Carriers,0.6615680434876896,Other,55-70,All
392,Other|55-70|All|Non Carriers,0.6946262145548285,Other,55-70,All
393,Other|55-70|All|Non Carriers,0.6807786370546631,Other,55-70,All
394,Other|55-70|All|All,0.6863336176716934,Other,55-70,All
395,Other|55-70|All|All,0.6826320725950572,Other,55-70,All
396,Other|60-70|Male|Carriers,0.6004774305555556,Other,60-70,Male
397,Other|60-70|Male|Carriers,0.6871744791666667,Other,60-70,Male
